Component,Description,Part,References,Value,Footprint,Quantity Per PCB,Req,Digikey part number,Mouser Part Number,Part URL
36,Resistor,R,R6 R7 R8 R9 R10 R11 R22 R25 R45 R46,330R,R_0603,10,"0,1W/1%",P330HCT-ND,,https://www.digikey.com/product-detail/en/panasonic-electronic-components/ERJ-3EKF3300V/P330HCT-ND/1746761
37,Resistor,R,R28 R29 R30 R31 R35 R36,R22,R_1206,6,"0,5W/1%",A130518CT-ND,,https://www.digikey.com/product-detail/en/te-connectivity-passive-product/CRGP1206F22R/A130518CT-ND/8578350
38,,TACT-SW2,S4,DWN,TACT-90,1,,450-1661-ND,,https://www.digikey.com/product-detail/en/te-connectivity-alcoswitch-switches/2-1825027-0/450-1661-ND/1632547
39,,TACT-SW2,S2,OK,TACT-90,1,,450-1661-ND,,https://www.digikey.com/product-detail/en/te-connectivity-alcoswitch-switches/2-1825027-0/450-1661-ND/1632547
40,,TACT-SW2,S1,RES,TACT-90,1,,EG1822-ND,,https://www.digikey.com/product-detail/en/e-switch/TL1100CF160Q/EG1822-ND/40984
41,,TACT-SW2,S3,UP,TACT-90,1,,450-1661-ND,,https://www.digikey.com/product-detail/en/te-connectivity-alcoswitch-switches/2-1825027-0/450-1661-ND/1632547
42,,74HC595,U2 U9,74HC595,SOIC-16_3.9x9.9mm_Pitch1.27mm,2,,296-14857-1-ND,,https://www.digikey.com/product-detail/en/texas-instruments/SN74HC595DR/296-14857-1-ND/562567
44,,ATmega32U4,U8,ATmega32U4,QFN-44-1EP_7x7mm_Pitch0.5mm,1,,ATMEGA32U4-MU-ND,,https://www.digikey.com/product-detail/en/microchip-technology/ATMEGA32U4-MU/ATMEGA32U4-MU-ND/1914603
45,,TCM2130-LA,U5 U6 U7,TMC2130-LA,QFN-36-1EP_5x6mm_Pitch0.5mm-GNDpad-0.3mm,3,,1460-1130-1-ND,,https://www.digikey.com/product-detail/en/trinamic-motion-control-gmbh/TMC2130-LA-T/1460-1130-1-ND/5155767
46,"Four pin crystal (GND on pins 2 and 4), e.g. in SMD package",Crystal_GND24,Y1,LFXTAL035264BULK 16MHz,Crystal-3.2x2.5mm,1,,1923-1291-1-ND,,https://www.digikey.com/product-detail/en/iqd-frequency-products/LFXTAL035264REEL/1923-1291-1-ND/8634170
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Component Groups:,46,,,,,,,,,
Component Count:,161,,,,,,,,,
Fitted Components:,161,,,,,,,,,
Number of PCBs:,1,,,,,,,,,
Total components:,161,,,,,,,,,
Schematic Version:,0.3,,,,,,,,,
